geoid,name,pctrent30_23,pctowned30_23,class
"25013813101",8131.01,0.5331369661,0.1780905753,
"25013813102",8131.02,0.3142857143,0.2783857729,
"25013813204",8132.04,0.4337349398,0.2081850534,
"25013813205",8132.05,0.2845982143,0.2069880584,
"25013813206",8132.06,0.3917525773,0.1299145299,
"25013813207",8132.07,0.4251497006,0.3259031514,
"25013813208",8132.08,0.4136986301,0.1818181818,
"25013813209",8132.09,0.2528473804,0.3054371002,
"25013813301",8133.01,0.452173913,0.2635078969,
"25013813303",8133.03,0.4644808743,0.2380612972,
"25013813304",8133.04,0.4375,0.2338653713,
"25013813401",8134.01,0.1501976285,0.2469280281,
"25013813403",8134.03,0.7078651685,0.273151751,
"25013813404",8134.04,0.4496402878,0.2215370019,
"25013813500",8135,0.5079365079,0.2660357518,
"25013813601",8136.01,0.471849866,0.3363397219,
"25013813602",8136.02,0.3178807947,0.1550925926,
"25013813701",8137.01,0.5767918089,0.2666083916,
"25013813702",8137.02,0.3120300752,0.2977461447,
"25013813801",8138.01,0.1592920354,0.2625206384,
"25013813802",8138.02,0.5187165775,0.2244582043,
"25015820101",8201.01,0.4214559387,0.2215070049,
"25015820102",8201.02,0.5351648352,0.3535502959,
"25015820205",8202.05,0.357771261,0.2030623405,
"25015820206",8202.06,0.644295302,0.3626522327,
"25015820207",8202.07,0.4458015267,0.351886209,
"25015820300",8203,0.6149425287,0.2699453552,
"25015820400",8204,0.2941176471,,
"25015820500",8205,0.5750896976,0.2569316081,
"25015820600",8206,0.6842105263,,
"25015820700",8207,0.6486068111,0.2744656918,
"25015820801",8208.01,0.5943536404,0.1772151899,
"25015820802",8208.02,,,
"25015820900",8209,0.3985507246,0.1828404831,
"25015821000",8210,0.2673796791,0.2844513781,
"25015821101",8211.01,0.3289224953,0.137372803,
"25015821200",8212,0.2,0,
"25015821300",8213,0.5906862745,0.1926977688,
"25015821400",8214,0.3322033898,0.1884908984,
"25015821500",8215,0.3070652174,0.2394495413,
"25015821601",8216.01,0.5542784163,0.1213307241,
"25015821602",8216.02,0.5896414343,0.2107175295,
"25015821700",8217,0.4369747899,0.3009950249,
"25015821901",8219.01,0.5737051793,0.2271634615,
"25015821903",8219.03,0.448035488,0.2765957447,
"25015821904",8219.04,0.5709534368,0.2559109875,
"25015822000",8220,0.632183908,0.04761904762,
"25015822200",8222,0.5921450151,0.2129032258,
"25015822300",8223,0.349864743,0.4307116105,
"25015822401",8224.01,0.5290322581,0.2551293488,
"25015822402",8224.02,0.4681818182,0.1897891232,
"25015822500",8225,0.3968871595,0.1826008156,
"25015822601",8226.01,0.2542372881,0.2023968043,
"25015822603",8226.03,0.2340425532,0.2817391304,
"25015822607",8226.07,0.4965277778,0.2301304864,
"25015822700",8227,0.368,0.2618657938,
"25017300100",3001,0.1232876712,0.2401343409,
"25017301101",3011.01,0.3324675325,0.2368421053,
"25017301102",3011.02,0.578313253,0.2366725249,
"25017310101",3101.01,0.5261923378,0.5060240964,
"25017310102",3101.02,0.5816498316,0.1271929825,
"25017310200",3102,0.6435137896,0.3975903614,
"25017310300",3103,0.5483870968,0.5782643958,
"25017310400",3104,0.7586206897,0.4571428571,
"25017310500",3105,0.5194805195,0.1975806452,
"25017310601",3106.01,0.3410852713,0.3371510379,
